a,-1372,12440,1048,-13259,-4488,-32768
a,332,5204,-212,-14387,-8621,-32768
a,-8288,7668,2716,-20030,-8016,-32768
a,-10412,12684,1084,-19148,-9899,-32768
a,-15300,13568,-1384,-7008,-4245,-32768
a,2680,8668,-3872,-16428,-4384,-32768
a,3584,-1668,-3292,-7572,-2481,-23565
a,-1236,-1568,-756,-7745,626,-24974
a,7176,-2552,-3672,-8029,-211,-22147
a,3908,-5028,-1760,-1423,1388,-11899
b,-32148,32767,7308,9984,5230,32767
b,-19184,30988,3484,9512,-2708,31546
b,-21416,32767,-4736,-4811,426,17830
b,-26180,31632,1984,-11,-7036,17465
b,-15544,25268,704,2179,-428,15307
b,-16644,23356,676,5232,2378,7143
b,-12912,29268,-2200,-2450,284,22168
b,-21924,25556,-1916,2700,-655,12761
b,-19344,30416,-3864,-1329,-1969,17809
b,-22640,32460,-3244,1950,-7766,16671
c,-12688,17056,15292,32767,-4762,-7400
c,-8368,18844,14684,32767,-18773,-1885
c,-15108,22688,12336,32767,-11339,5801
c,-22212,19684,11268,32767,3291,3874
c,-18104,17604,4284,32767,-8434,6071
c,-12180,12600,9532,19391,-2460,-866
c,-14652,23436,13088,32767,-17137,-712
c,-16968,20648,10800,32767,-17654,3860
c,-6960,13660,15836,14082,3607,-2077
c,-12344,19180,15524,32767,-10020,-2579
d,-10520,6060,-20684,-18349,2624,-4392
d,-8616,11344,-19788,-30893,3327,-9832
d,-10148,7248,-21380,-11118,4456,-3537
d,-7028,10484,-20640,-22085,7363,-9073
d,-4136,11948,-16340,-30108,18284,-10625
d,-1312,8104,-24196,-20652,3484,-10998
d,-3972,6396,-23188,-21581,6321,-12470
d,-304,2812,-25560,-12868,4612,-3571
d,-5256,9844,-22780,-25696,13657,-4265
d,-6800,10092,-13544,-32768,15464,-17532
a,-18860,-4312,10092,-13314,-1009,-25334
a,-14580,-4464,5588,-14853,-4360,-30334
a,-16332,-5504,6496,-13616,-5000,-25070
a,-18416,-2920,6156,-13537,-8412,-27731
a,-20452,-2928,9644,-10535,-2769,-21923
a,-13260,-2304,5660,-15319,-6641,-30640
a,-19228,-1148,7176,-14206,-543,-29617
a,-29064,-596,10472,-12608,1334,-23379
a,-19612,-1144,6828,-15462,-4580,-29816
a,-13828,-2464,4580,-13418,-3777,-32768
b,-18044,11548,5592,18278,-20112,32720
b,-9280,9788,3628,18628,-6164,23726
b,-6900,2708,4476,17684,-2882,25617
b,-6356,-2724,3464,9024,-9559,18564
b,-13108,-3428,5512,3626,-9429,10228
b,-9608,1232,3140,10330,-7488,23271
b,-11856,10320,5072,20976,-620,27371
b,-6476,3044,3292,8559,-3349,23546
b,-1804,11232,1376,21490,-2469,32767
b,-13624,13020,4748,18737,-174,32767
c,-13444,-1468,-2536,25720,5517,-3973
c,-13060,-1324,-1716,23873,2656,-5751
c,-14680,-2552,-2644,18859,1735,-4046
c,-16680,-2188,-1632,17036,664,-6367
c,-14472,-72,136,26516,-1916,-5825
c,-15800,1976,604,25216,-813,-8187
c,-14272,3492,3192,27364,-1712,-8879
c,-16552,4992,468,32767,-8968,-9331
c,-12792,6576,-124,32767,3598,-10523
c,-20228,5628,-336,32767,-2280,-10201
d,-16008,4124,7804,-29521,-4221,2484
d,-13236,2016,8780,-29136,-291,7037
d,-17128,3164,6708,-25537,-7535,-508
d,-13948,3288,8516,-26344,-948,450
d,-14616,3048,7100,-29979,-1813,1787
d,-14952,3816,5092,-32768,-3858,2404
d,-14300,4980,4236,-32295,-3978,5187
d,-12784,3576,7436,-27737,-3869,5222
d,-13572,4264,8440,-29568,-7208,4870
d,-17772,6692,4644,-30788,970,2642
a,-4576,-8100,4156,-13860,-1121,-9290
a,-3616,-4420,3044,-24500,17971,-10556
a,-1796,-3256,14148,-23880,6322,-2956
a,-6416,-3660,1248,-11077,5034,-22511
a,-12512,-4284,1788,-7007,-1197,-19441
a,-7816,-4404,-208,-10262,-1136,-22659
a,-19192,-1852,5260,-12923,-379,-25706
a,-17804,-4516,5844,-7528,-992,-18904
a,-19612,-1312,5356,-9423,-2878,-21731
a,-15992,-3936,2328,-5960,1309,-23806
b,-20404,13808,6504,4638,-719,30514
b,-5336,15688,616,9530,-2766,32767
b,5288,828,236,5771,-3467,32767
b,-14712,12876,2472,12282,-12681,32767
b,3644,7536,-3268,14122,-6664,32767
b,-1252,1044,392,8460,-1505,27818
b,-8604,1408,824,5845,-1616,25003
b,-4636,3608,-2704,4329,1659,26587
b,-1500,6208,-5088,8302,1618,32767
b,2892,924,-2156,6898,2852,29029
c,-15224,9236,-9356,32767,6674,2029
c,-13380,2128,-13292,29191,6425,8159
c,-13800,6744,5900,-1515,972,1049
c,-16588,520,-6560,21409,3619,-4276
c,-16224,-1536,-4896,17861,2936,-3080
c,-15268,-2912,-6660,21328,2307,-1571
c,-16764,-3152,-6248,13128,3662,-2983
c,-16472,-3300,-5168,15515,1455,-1186
c,-16672,-2300,-6480,17095,8325,-591
c,-18140,-3220,-2652,9358,878,-956
d,-13596,6716,11644,-16367,1377,3854
d,-14976,3812,4840,-20205,897,3006
d,-13128,6192,12304,-17414,-430,1803
d,-13884,5896,14080,-10978,-1002,2754
d,-14620,6452,7720,-26316,5578,2554
d,-14532,5812,9724,-18252,-766,2738
d,-14836,7344,12204,-22069,-9,2738
d,-15300,3412,10144,-15942,-1068,2696
d,-13492,3468,8980,-9435,-210,2166
d,-15004,4004,8288,-16063,107,4420
a,-6548,-5464,-1500,-5148,1438,-15815
a,-1996,-6016,-896,-5193,468,-13860
a,100,-9228,-1752,-1690,-938,-4520
a,1920,-4060,-3392,-3423,2481,-17756
a,2288,2648,-4132,-6488,-1761,-29088
a,2692,-4644,-1900,-3331,2877,-19078
a,7328,-3164,-436,557,-1240,-19027
a,-24960,2200,4684,-4306,4897,-9755
a,-1264,-1072,-1152,-5192,-1452,-29363
a,-8472,2388,-2412,-4744,-1312,-32768
b,-21180,28272,11940,6857,-15791,32767
b,-14268,29092,5668,13176,17822,32767
b,-6624,21164,8968,15362,-16424,32767
b,592,22880,5964,32767,-5917,32767
b,-8168,15464,6128,26710,-27518,32767
b,1288,16828,4060,29373,-23235,32767
b,-5744,23776,6732,23025,-26354,32767
b,13788,22704,3300,32767,-32768,32767
b,224,18336,4056,32767,-32225,32767
b,868,29112,8888,28354,-24270,32767
c,-17016,30496,9456,32767,-22388,973
c,-12024,25268,-7256,32767,-18177,6494
c,-11288,26540,1192,32767,-23803,11858
c,-12548,20376,-8928,32767,-17063,-3350
c,-12008,17964,-11376,32767,-14574,-3838
c,-16168,15992,-13880,32767,-5500,-3934
c,-15412,9144,-10676,32767,-5918,-14010
c,-16284,24988,1472,32767,-18062,-8560
c,-13876,10616,-21624,32767,-11033,-3063
c,-10956,20940,-6972,32767,-17430,3998
d,-9776,10904,8476,-32768,15738,-569
d,-9684,2384,-8764,-32768,19096,12315
d,-3800,6396,-4572,-32768,12278,12341
d,-10968,12628,11200,-32768,-85,6667
d,-5156,17884,-2972,-32768,7806,5885
d,-14012,13240,1280,-32768,4208,13499
d,-7696,108,-20520,-32768,11257,14712
d,-9440,-3256,-23428,-32768,21897,18231
d,-8628,9884,-11204,-32768,21529,22186
d,-15048,7336,-17088,-32768,16922,17200
a,-7016,-2936,-2664,610,-4136,-19840
a,-3764,-5360,-384,2199,-3517,-11231
a,-5076,-2676,-980,828,-2764,-9735
a,-10668,-1196,-1832,862,-2637,-15785
a,-9856,1252,-1104,1785,-21,-25402
a,-4056,-4672,-1772,3247,-1318,-18095
a,-8220,-2072,-1912,4984,1857,-24027
a,-2424,-7800,-812,3228,-811,-12096
a,-2064,-7844,-1180,1855,-971,-11812
a,-3180,-6024,-2112,2612,-2083,-18469
b,-12852,8028,648,-2420,-7680,25767
b,-12956,10848,-892,-2749,-4479,16331
b,-21016,15104,1328,-2760,-927,15550
b,-16760,12704,-1596,-2961,-1812,17938
b,-13348,10424,908,-3042,-4198,15603
b,-17504,3088,788,-2380,2467,18903
b,-15432,5720,588,-601,-1170,21451
b,-13792,11908,476,-2991,-4677,21203
b,-13088,12584,-1144,-1902,160,22487
b,-15032,7548,316,-1319,-119,19477
c,-16592,6452,6380,31769,-2356,-326
c,-16044,5088,11324,16682,-2880,-1437
c,-13708,2692,6804,14166,1598,-555
c,-15980,1948,7156,5044,1447,1190
c,-17848,132,5420,5983,2230,968
c,-13504,2048,9592,11517,-2657,-406
c,-15504,692,7964,844,4867,-293
c,-15512,1576,6036,15049,-2064,-1009
c,-11372,2312,9456,8487,-564,-46
c,-18588,5688,11856,23101,-9533,-2206
d,-13328,976,-8760,-24603,9045,-852
d,-16460,1860,-4556,-29350,7954,-1500
d,-15400,3068,-10152,-20034,1499,-1195
d,-10236,484,-5700,-27947,12459,1617
d,-15044,1524,-11044,-23204,980,-374
d,-17436,56,-13144,-26636,9837,64
d,-14132,1656,-13560,-13230,1495,-1980
d,-14652,3672,-6068,-22961,1088,-3760
d,-13992,2312,-6376,-21051,374,-3326
d,-15064,3580,-11804,-26248,12318,1982
a,-20412,4756,4440,6126,8923,-32768
a,-18504,8276,2996,4180,18180,-32768
a,-21268,12580,6548,915,18305,-32768
a,-22804,9120,6224,1278,24304,-32768
a,-26972,11620,2416,5376,28667,-32768
a,-17452,8784,4204,2751,17130,-32768
a,-32768,17464,7548,6185,23019,-32768
a,-32224,13600,7812,3204,20335,-23128
a,-29716,13208,5768,4132,21064,-32768
a,-29388,12564,2572,7029,25713,-32768
b,-4100,220,2528,11881,-1411,32068
b,-5452,12040,3112,20016,8894,32767
b,6576,-972,-3660,10490,-1608,29912
b,-2004,-5488,-476,6911,-2733,13999
b,3792,9008,3700,20688,3091,32767
b,-444,3192,-860,15857,-3213,30846
b,280,-2604,-608,5154,-2921,10914
b,-7376,936,-2000,22495,10719,32767
b,-20380,15428,11172,17096,952,32767
b,348,-1900,-4540,13065,-3161,22561
c,-26312,-1848,-22048,32767,12577,-12353
c,-20864,636,-14920,32767,5997,-14517
c,-18508,6892,-9336,32767,5418,-16929
c,-20212,7868,-4252,32767,7294,-15847
c,-19424,7416,-6176,32767,8035,-16516
c,-13468,-2180,7128,-1744,-1647,-992
c,-21912,6248,-5884,32767,6714,-16038
c,-19156,4716,3632,32767,3155,-20683
c,-14740,1796,-560,32767,3657,-18607
c,-22528,7220,-6308,32767,5457,-16878
d,-15556,1136,9260,-32768,10059,4428
d,-12848,2460,16556,-32768,11689,7194
d,-9032,1080,12208,-27780,16318,10583
d,-12992,-1704,20332,-16222,6770,531
d,-10212,2012,8956,-32768,16841,12147
d,-22176,2484,6080,-28090,5680,4855
d,-12396,-1760,8300,-31971,15355,8667
d,-13564,888,14920,-29260,17630,9076
d,-9968,-5244,20348,-23474,8341,5083
d,-9684,-376,19844,-28139,6571,6120
